Rk,Player,AV,GS,Season,Age,Team,G,GS,AV,Pos
305,Kyzir White,7,17,2021,25,LAC,17,17,7,LB
306,Brandon Williams,7,13,2021,32,BAL,13,13,7,NT
307,Damien Wilson,7,17,2021,28,JAX,17,17,7,LB
308,D.J. Wonnum,7,14,2021,24,MIN,17,14,7,DE
309,Al Woods,7,16,2021,34,SEA,16,16,7,DE
310,Paulson Adebo,6,17,2021,22,NOR,17,17,6,CB
311,Eli Apple,6,15,2021,26,CIN,16,15,6,CB
312,Denico Autry,6,11,2021,31,TEN,17,11,6,DE
313,Anthony Averett,6,14,2021,27,BAL,14,14,6,CB
314,Derek Barnett,6,15,2021,25,PHI,16,15,6,DE
315,Krys Barnes,6,13,2021,23,GNB,16,13,6,LB
316,Anthony Barr,6,11,2021,29,MIN,11,11,6,LB
317,Jessie Bates III,6,15,2021,24,CIN,15,15,6,S
318,Vonn Bell,6,16,2021,27,CIN,16,16,6,S
319,Nick Bolton,6,12,2021,21,KAN,16,12,6,LB
320,Michael Brockers,6,16,2021,31,DET,16,16,6,DE
321,Derrick Brown,6,14,2021,23,CAR,16,14,6,DT
322,Spencer Brown,6,10,2021,23,BUF,13,10,6,RT
323,Devin Bush Jr.,6,14,2021,23,PIT,14,14,6,LB
324,Josh Bynes,6,12,2021,32,BAL,14,12,6,LB
325,Marquez Callaway,6,11,2021,23,NOR,17,11,6,WR
326,Michael Carter,6,11,2021,22,NYJ,14,11,6,RB
327,Ezra Cleveland,6,17,2021,23,MIN,17,17,6,G
328,Jadeveon Clowney,6,14,2021,28,CLE,14,14,6,DE
329,Maliek Collins,6,15,2021,26,HOU,15,15,6,DT
330,James Daniels,6,17,2021,24,CHI,17,17,6,RG
331,Sam Darnold,6,11,2021,24,CAR,12,11,6,QB
332,Marcus Davenport,6,9,2021,25,NOR,11,9,6,DE
333,Lavonte David,6,12,2021,31,TAM,12,12,6,LB
334,Nate Davis,6,14,2021,25,TEN,14,14,6,RG
